size,complexity,priordefects,churn,allchangescount,changeentropy,allauthors,minorauthors,majorauthors,authorownership,rushedreviews,changesnodisc,selfapprovedchanges,typicaldisclen,typicalreviewwindow,reviewissues,allreviews,allreviewers,typicalnumberofreviewers,chnagesnoexpertise,typicalreviewerexpertise,defects
274,0.0714285714,3,5748,86,0.9088265905,3,0,3,0.75,0,4,7,0.0051948052,2.6675110132,19,55,13,4,0,3,1
685,0.0973133396,7,3777,166,0.9991095169,4,0,4,0.5714285714,0,8,13,0.0081243545,5.7452339796,16,95,10,2,4,8.5,1
294,0,12,35,14,0.7891066453,3,0,3,0.5,0,3,6,0,0,0,0,0,0,0,1,1
77,0,0,2108,42,0.9984506551,3,0,3,0.4285714286,0,2,4,0.0095108696,6.0310817084,4,19,2,1,0,2,0
75,0.2133333333,1,14,6,0,2,0,2,0.5,0,2,2,0,0,0,0,0,0,0,2,0
775,0.0588235294,15,166,15,0.8333724545,3,0,3,0.5454545455,0,8,8,0,0,0,3,5,0,0,1,0
1271,0.1904761905,20,55,6,0.9697238999,2,0,2,0.8333333333,0,2,5,0,0,0,1,1,0,0,1,0
6422,0.0877192982,79,8377,308,0.9112893958,9,5,4,0.3710691824,0,14,115,0,0,16,69,4,0,0,2,0
844,0.0454545455,2,232,43,0.8567790603,6,0,6,0.3333333333,0,7,17,0,0,0,14,6,1,0,2,0
289,0.1169354839,6,32,2,1,2,0,2,0.5,0,2,2,0,0,0,0,0,0,0,1,0
758,0.1353862335,10,13,5,0.7219280949,2,0,2,0.6666666667,0,1,3,0.3181818182,0,0,4,3,2,0,1.5,0
36,0,1,30,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
33,0.15625,2,289,28,0.9963165196,4,0,4,0.4,0,2,5,0.0491570017,0,0,17,5,2,0,2.5,0
515,0.1042780749,8,424,11,0.9600582493,4,0,4,0.4285714286,0,5,5,0,0,0,7,4,1,0,1,0
1301,0.1220095694,5,11852,203,0.8012079888,4,1,3,0.6315789474,0,23,53,0.0007486526,0,3,38,4,1,0,2,1
1252,0.1547619048,46,59934,382,0.8961070397,6,3,3,0.6017699115,0,18,66,7.40467345932608E-05,0,20,87,6,1,2,6,5
1630,0.2383641675,27,5618,183,0.9175099876,8,4,4,0.2638888889,0,21,54,0.0023245036,0,1,32,5,1,3,10,2
1034,0.2406391692,15,1956,19,0.9830345099,2,0,2,0.8421052632,0,2,19,0,0,0,0,5,0,0,1,2
38,0.0972222222,5,108,2,1,1,0,1,1,0,1,2,0,0,0,0,1,0,0,1,0
133,0.0454545455,4,528,4,0.9463946304,2,0,2,0.75,0,2,4,0,0,0,0,0,0,0,1,0
14,0,2,44,3,0,2,0,2,0.5,0,2,1,0,0,1,1,1,1,0,2,0
438,0.1330782313,1,7131,76,0.9840999685,2,0,2,0.5555555556,0,3,8,0,0,2,10,2,1,0,2,2
424,0.1827431827,20,903,19,0.9206676755,6,0,6,0.7222222222,0,7,17,0,0,0,0,0,0,0,1,1
211,0.0238095238,5,120,12,1,2,0,2,0.5,0,1,4,0.0461309524,0,3,12,1,1,0,2,0
430,0.09375,8,34,5,0.9602297179,2,0,2,0.6666666667,0,2,3,0,0,0,0,0,0,0,1,1
5,0,17,179,24,0,6,0,6,0.5,0,13,13,0.0055865922,0,1,4,3,1,0,14,0
1531,0.0127118644,24,1045,31,0.942276868,6,2,4,0.2857142857,0,5,21,0.0022755102,0,0,5,6,1,0,3,0
53,0.2641509434,0,2,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
445,0.0651685393,7,4,2,0,1,0,1,1,0,1,0,0,0,0,1,2,1,0,1,0
206,0.1851851852,7,12,5,0.9602297179,2,0,2,0.6666666667,0,2,1,0,0,0,2,1,1,0,1,0
130,0,6,59,4,0.9463946304,2,0,2,0.6666666667,0,1,3,0,0,0,1,1,0,0,1,0
172,0.108143913,4,495,28,0.985228136,3,0,3,0.7,2,3,6,0.0051696364,0.3374667138,3,11,4,1,0,5,3
245,0,5,293,7,0.9165164432,2,0,2,0.8,0,2,4,0,0,1,2,2,0,0,1,1
2617,0.0105263158,59,409,18,0.8247417351,3,0,3,0.7272727273,0,3,10,0,0,0,43,10,2,0,1,1
2838,0.1008583691,14,10436,131,0.9602461345,4,1,3,0.4482758621,3,8,18,0.0014662757,0,10,55,5,1,0,3,4
72,0.03125,13,58,12,0.709147917,2,0,2,0.8,0,2,4,0,0,0,13,8,2,0,1,0
364,0,9,3035,62,0.9140601107,5,0,5,0.3157894737,3,8,13,0.0005040323,0,4,25,5,1,0,4,3
110,0.1636363636,2,6,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0
133,0,30,98,4,1,1,0,1,1,0,1,4,0,0,0,9,4,0,0,1,0
12,0,2,4,1,0,1,0,1,1,0,1,1,0,0,0,0,4,0,0,1,0
967,0.0780487805,15,77,13,0.8292439008,2,0,2,0.6,0,3,5,0,0,0,5,3,2,0,2,0
1605,0,9,124,7,0.9165164432,2,0,2,0.8333333333,0,2,6,0,0,2,8,3,0,0,1,1
104,0,5,66,5,1,1,0,1,1,0,1,5,0,0,0,0,0,0,0,1,0
101,0,12,89,4,1,1,0,1,1,0,1,4,0,0,0,2,3,0,0,1,0
1058,0,6,608,33,0.8750159434,2,0,2,0.64,0,6,21,0,0,4,8,1,0,0,1,0
15,0,1,6,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
346,0.0606060606,25,85,2,1,1,0,1,1,0,1,2,0,0,0,1,1,0,0,1,0
9,0,0,6,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0
102,0,0,141,22,0,1,0,1,1,1,0,0,0.0354609929,7.9072104019,0,32,6,2,0,5,0
