defects,size,complexity,churn,priordefects,allauthors,minorauthors,majorauthors,authorownership,changeentropy,selfapprovedchanges,rushedreviews,changesnodisc,typicalreviewwindownorm,typicaldisclennorm
0,567,0.2663139331,0,0,0,0,0,0,0,0,0,0,0,0
0,1970,0.1502538071,0,0,0,0,0,0,0,0,0,0,0,0
0,3717,0.2741458165,0,0,0,0,0,0,0,0,0,0,0,0
0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4618,0.1643568645,0,0,0,0,0,0,0,0,0,0,0,0
0,287,0.0975609759,0,0,0,0,0,0,0,0,0,0,0,0
0,1432,0.1613128492,0,0,0,0,0,0,0,0,0,0,0,0
0,897,0.1583054627,0,0,0,0,0,0,0,0,0,0,0,0
0,3522,0.1626916525,3127,0,2,0,2,0.5,0,1,1,0,18.178543958,0.0082276483
0,2902,0.2415575465,0,0,0,0,0,0,0,0,0,0,0,0
0,4960,0.110483871,0,0,0,0,0,0,0,0,0,0,0,0
0,10,0.400000006,0,0,0,0,0,0,0,0,0,0,0,0
0,52,0.7692307697,0,0,0,0,0,0,0,0,0,0,0,0
0,17,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9443,0.2425076777,0,0,0,0,0,0,0,0,0,0,0,0
0,55,0.6545454552,0,0,0,0,0,0,0,0,0,0,0,0
0,177,0.1581920909,0,0,0,0,0,0,0,0,0,0,0,0
0,49,1.0204081632,0,0,0,0,0,0,0,0,0,0,0,0
0,55,0.50909091,0,0,0,0,0,0,0,0,0,0,0,0
0,48,0.5833333342,0,0,0,0,0,0,0,0,0,0,0,0
0,160,0.8500000001,0,0,0,0,0,0,0,0,0,0,0,0
0,109,1.0458715596,0,0,0,0,0,0,0,0,0,0,0,0
0,8,1.3749999953,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2.9999998,0,0,0,0,0,0,0,0,0,0,0,0
0,4181,0.2353503947,0,0,0,0,0,0,0,0,0,0,0,0
1,274,0.1240875916,150,0,3,0,3,0.4,1,2,1,2,56.322244489,0.002004008
0,122,0.1147540991,8,0,2,0,2,0.6666666667,1,1,1,2,56.322244489,0.002004008
0,416,0.1610576925,18,0,3,0,3,0.5,0.980974737,2,2,2,35.9253580087,0.0064965095
0,146,0.1917808225,387,0,3,0,3,0.3333333333,1,1,0,1,94.4375,0.0026525199
