size,complexity,priordefects,churn,allchangescount,changeentropy,allauthors,minorauthors,majorauthors,authorownership,rushedreviews,changesnodisc,selfapprovedchanges,typicaldisclen,typicalreviewwindow,reviewissues,allreviews,allreviewers,typicalnumberofreviewers,chnagesnoexpertise,typicalreviewerexpertise,defects
1032,0.0555555556,13,20768,180,0.9452380436,5,1,4,0.3793103448,0,8,13,0.0011844833,0,11,33,5,2,1,2,0
305,0.1707317073,2,1132,56,0.838392315,2,0,2,0.5,0,1,2,0.0285714286,29.6201428571,0,17,6,0,0,2,0
1195,0.1244239631,75,2269,113,0.9022343622,10,3,7,0.3333333333,1,10,25,0,0,21,76,16,2,3,4,4
74,0.1216216216,8,40,10,0,1,0,1,1,0,0,0,0.25,0,0,14,2,2,0,1,0
136,0.0625,0,895,8,1,1,0,1,1,1,0,0,0.0056289308,0.1467274633,2,4,1,1,0,1,0
2752,0.1146907994,47,853,52,0.954224247,6,0,6,0.3846153846,0,5,5,0.0539772727,0,1,50,8,2,0,1.5,1
3582,0.0606077982,271,3058,137,0.8144269978,17,15,2,0.3488372093,0,13,31,0,0,11,76,43,0,0,1,1
1985,0.1421362489,77,2194,60,0.6091070367,11,5,6,0.36,0,8,19,0,0,0,14,6,0,3,1,2
3401,0.1227097396,89,3700,241,0.8038428802,18,11,7,0.2692307692,1,16,23,0,0,5,136,14,1,3,1,0
1149,0.125,25,5587,125,0.8184769869,5,0,5,0.32,1,3,7,0.0032154341,0.63836738,17,116,6,2,0,2,1
103,0.049382716,8,207,16,0.9886994083,2,0,2,0.6666666667,0,1,0,0.1468779565,0,0,1,1,0,0,1.5,0
89,0.1166666667,3,35,6,0.6500224216,2,0,2,0.5,0,2,2,0,0,0,0,5,0,0,1,0
556,0.0434782609,10,3816,42,0.9137491216,4,0,4,0.3333333333,0,4,9,0.0100747775,0,2,8,13,2,0,2,1
317,0.1428571429,3,76,6,0.9206198357,3,0,3,0.4,0,2,3,0.075,0,0,1,1,0,0,1,0
775,0.0459183673,33,213,25,0.8783119055,3,0,3,0.4444444444,0,2,7,0.0533333333,0,0,6,3,1,0,2.5,0
3750,0.0833333333,111,1992,86,0.9137200431,5,0,5,0.3157894737,0,5,8,0,0,3,40,9,1,0,1,1
3737,0.0582524272,116,2139,74,0.9363629309,5,0,5,0.2777777778,0,5,16,0,0,3,29,3,1,0,1,0
1543,0.0337911924,17,1135,44,0.8944710217,5,0,5,0.4210526316,0,5,8,0,0,4,19,3,1,0,2,0
21,0.0476190476,2,6,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
3170,0.1125,124,3053,222,0.8254977284,21,18,3,0.3333333333,0,16,40,0.003542973,0,9,106,40,0,3,1,0
2804,0.1229946524,113,1873,125,0.6780110674,15,7,8,0.2222222222,0,18,27,0,0,2,62,24,1,15,1,2
521,0.1111111111,22,503,29,0.8323363973,5,0,5,0.5,0,10,10,0,0,0,9,5,0,0,4,2
670,0.1666666667,60,550,92,0.4839808184,9,4,5,0.53125,0,16,17,0.0026666667,0,0,44,10,1,4,1,0
4889,0.0713675214,35,5524,180,0.8811316773,6,4,2,0.6956521739,0,12,41,0.0028320928,0,14,192,13,1,0,2,3
2628,0.0646461379,24,830,58,0.8761181218,5,0,5,0.4615384615,0,5,18,0,0,1,40,9,0,0,1,0
2553,0.0678571429,20,1474,81,0.9183738009,5,2,3,0.5777777778,0,4,40,0,0,1,28,7,0,0,1,0
148,0.0531914894,6,29,6,0.8962406252,2,0,2,0.75,0,2,4,0,0,0,0,0,0,0,1,0
883,0.1795604396,28,120,14,0.8794866889,3,0,3,0.75,0,3,8,0,0,0,0,0,0,0,1,0
59,0,3,18,8,0.7743974703,2,0,2,0.75,0,2,4,0,0,0,0,0,0,0,1,0
4263,0.0526315789,159,1055,140,0.8545926814,10,5,5,0.4358974359,0,5,24,0.0448275862,0,0,30,16,0,0,2,4
111,0.0681818182,1,2681,66,0.9970151057,1,0,1,1,1,0,0,0.0125028598,5.2158522077,5,48,5,4,0,1.5,2
9019,0.1205925118,571,8583,638,0.7866916923,46,42,4,0.1677419355,2,52,107,0.007148774,0,15,229,72,2,12,2,14
51,0,1,46,2,1,1,0,1,1,0,1,2,0,0,0,0,5,0,0,1,1
77,0.1,5,12,2,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0
695,0.125,3,2715,48,0.8796724844,4,1,3,0.4782608696,0,4,12,0.0022156573,0,3,28,8,1,0,1,2
613,0.0243902439,8,730,43,0.8089629989,4,0,4,0.3636363636,0,2,3,0.0069444444,0,2,22,8,1,2,3,0
475,0.0303030303,3,20,5,0.9609640474,2,0,2,0.75,0,2,4,0,0,0,0,0,0,0,1,0
1615,0.0263157895,18,16675,261,0.9381450441,9,2,7,0.2372881356,0,13,55,0,0,5,42,8,0,0,1,0
133,0,6,66,29,0.5483475914,4,0,4,0.625,0,3,7,0,0,0,0,12,0,0,1,0
132,0.2272727273,1,381,3,0,1,0,1,1,0,0,0,0.0026246719,0,2,2,1,1,0,1,1
93,0,7,575,17,0.7598642308,2,0,2,0.6,0,1,3,0.0034246575,0,0,8,3,2,0,1,0
18,0,2,6,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0
15,0.2,2,11,2,0,2,0,2,0.5,0,2,2,0,0,0,0,0,0,0,2,0
232,0.1263693271,12,895,63,0.7694400757,9,0,9,0.25,0,6,5,0.0419287212,8.0316482359,19,90,13,3,1,2.5,0
426,0.0679681765,11,12,2,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0
1775,0.1076923077,36,2603,80,0.8280250383,10,5,5,0.3043478261,0,4,15,0.0064935065,0,14,78,18,2,0,1,1
231,0.1264367816,49,664,49,0.6444808047,6,0,6,0.2857142857,0,3,4,0.0086355786,0,0,3,2,0,0,2,0
29,0.1470588235,0,658,22,1,1,0,1,1,0,0,0,0.0091239358,0,4,10,3,3,0,1,0
2920,0.1176470588,126,426,45,0.8470556296,3,0,3,0.4375,0,3,15,0.0099009901,0,0,9,2,1,0,2,0
298,0.11328125,4,939,52,0.9409028581,5,0,5,0.25,0,2,3,0.0247311828,0,5,35,5,2,0,3,0
1483,0.13964687,7,14018,204,0.8787116428,5,1,4,0.6944444444,1,6,16,0.002004008,1.36509796,24,70,7,2,0,5,3
6229,0.0644391408,73,26045,468,0.8286966586,17,12,5,0.2991452991,1,16,74,0,0,39,220,14,1,2,1,5
